"DIVISION","num_crimes","num_mha_reports"
"D11",15894,5435
"D12",17151,5137
"D13",14180,4226
"D14",27590,12603
"D22",26578,6302
"D23",25782,5769
"D31",29099,6531
"D32",31273,7528
"D33",17836,5516
"D41",27591,6752
"D42",24037,5357
"D43",27509,7069
"D51",32666,10233
"D52",23487,5916
"D53",21199,6584
"D54",6347,1965
"D55",24524,8636
"NSA",3992,755
